clusters9,Features9,weights
6,safety,0.0014209604155653323
7,program,0.09549927206394239
7,support,0.09090728068755265
7,community,0.06514323909375103
7,develop,0.0642314321081691
7,provide,0.05843588096757152
7,service,0.05432811064628109
7,increase,0.050425121546322706
7,organization,0.04449852335051635
7,staff,0.042846947103290976
7,cost,0.04096811147128204
7,hire,0.04043618227759687
7,development,0.03635487335659278
7,area,0.036118799469804765
7,project,0.035282851971774117
7,new,0.03448520531950007
7,plan,0.034193793728087604
7,help,0.03260451762950975
7,child,0.032197111296858476
7,local,0.0313803518356684
7,implement,0.031199425265852364
7,training,0.031003632674747105
7,awareness,0.030200802380393917
7,expand,0.030152473806986938
7,assist,0.02984498038801028
7,enhance,0.029704203246125875
7,create,0.029491147700348122
7,festival,0.029473008261426528
7,promote,0.02929511637829087
7,county,0.028415915282199344
7,family,0.028246251834311092
7,resource,0.02822044603969908
7,art,0.028203712946740924
7,coordinator,0.028183312589638528
7,school,0.0273743328699047
7,purchasing,0.026498724157066313
7,deliver,0.026017041833686364
7,need,0.025920291698491093
7,establish,0.02540103634885776
7,region,0.02511646805779823
7,public,0.02476524551355223
7,activity,0.024437115300931532
7,opportunity,0.024294360195252176
7,education,0.024182947473560576
7,event,0.024115122570198433
7,health,0.023493735406504252
7,improve,0.023300842334245946
7,woman,0.02269732349971022
7,work,0.021977773482459866
7,access,0.021499110241895884
7,workshop,0.021090421278589715
7,fund,0.021002930203670556
7,centre,0.020706261419339674
7,social,0.020390054385003853
7,enable,0.02010416633357782
7,disability,0.020058900092622355
7,cultural,0.01981768775366437
7,group,0.019205969807398398
7,equipment,0.018571297282868316
7,young,0.018566981014279657
7,skill,0.018306468152918
7,order,0.017516750796685934
7,senior,0.01727466783145813
7,resident,0.017208129772970836
7,include,0.017107593408872867
7,learn,0.017006385970346156
7,food,0.016659957359264673
7,offer,0.016461358458632176
7,build,0.015973213239057888
7,continue,0.015691797928927876
7,member,0.015128477582728684
7,initiative,0.014759973919703571
7,engage,0.013393681373482097
7,impact,0.013228849756574174
7,adult,0.012956587798766319
7,quality,0.012514500724714571
7,age,0.012347326383821529
7,sport,0.011995332988002339
7,ensure,0.011356039796326545
7,physical,0.01113256933220884
7,space,0.010051472490320323
7,recreational,0.009590137302772686
7,participate,0.008882012273260619
7,building,0.00871521216719148
7,heritage,0.008641910789863367
7,club,0.008177741217529204
7,upgrade,0.00810319765779785
7,culture,0.007681467659040086
7,life,0.0061734579130333445
7,make,0.00611922543624953
7,youth,0.005576243070036279
7,active,0.005268018724623891
7,facility,0.004470390486975405
7,accessible,0.0037868532006252427
7,renovate,0.003097754870857346
7,purchase,0.0030390855602598927
7,replace,0.0014752316909787207
7,install,0.001290377626375114
7,capacity,0.0005705452014714696
7,volunteer,0.0004375677092348588
7,safety,0.0003296285521150676
8,youth,0.3806424646007742
8,child,0.15669474832052935
8,program,0.1310194832535528
8,skill,0.10746170586281537
8,support,0.09989467004679019
8,community,0.0795622537879382
8,provide,0.06873300044307477
8,development,0.06816127148267266
8,develop,0.06666081408395878
8,help,0.0562625078933684
8,initiative,0.05087659234127657
8,social,0.04971996134330934
8,life,0.04470357947893577
8,opportunity,0.044454515093814095
8,expand,0.038506594121604475
8,adult,0.03794354132532128
8,impact,0.0377884678589725
8,create,0.0353138830499472
8,increase,0.03441117987131933
8,age,0.03416315611623888
8,school,0.03382886099714802
8,area,0.03375100014114288
8,activity,0.03226889490222093
8,training,0.032134734311335886
8,project,0.028243217956563517
8,service,0.027202859835405106
8,learn,0.02685916318800587
8,deliver,0.02685772047049869
8,art,0.025887351167491374
8,new,0.025798690833982778
8,recreational,0.0247312385008329
8,centre,0.024619259988813973
8,young,0.024330695348596183
8,workshop,0.023296860552761818
8,staff,0.023260763468789733
8,engage,0.02265463663294501
8,enhance,0.022454178905181477
8,sport,0.021399484388344967
8,implement,0.02124056176925599
8,offer,0.020935055636289175
8,family,0.02076269269859655
8,education,0.02070825642925914
8,cost,0.0204848840981175
8,hire,0.020247309686260727
8,organization,0.019733410504417615
8,local,0.018355067768937045
8,build,0.01825780513159138
8,participate,0.01801865181573926
8,coordinator,0.017847232735941444
8,promote,0.017189438732043243
8,enable,0.017111260063510676
8,health,0.01692701623668949
8,equipment,0.016636188150389666
8,county,0.016483905073219986
8,region,0.016252906563851314
8,purchase,0.016184723681006714
8,work,0.015773287984655607
8,cultural,0.015408039504239985
8,assist,0.014987072060343321
8,need,0.014783268718358831
8,fund,0.014690417311547247
8,improve,0.014655576068612858
8,establish,0.014569944781265881
8,space,0.014505042593632458
8,include,0.014137703259680896
8,access,0.014068549348646105
8,physical,0.013158649866178583
8,volunteer,0.012903578645207725
8,resource,0.012306530297033068
8,group,0.011672311884758946
8,plan,0.011004432511113367
8,awareness,0.010975030947055263
8,building,0.010864168618107219
8,club,0.010858403573561206
8,senior,0.010435190126294258
8,disability,0.010106846693396138
8,continue,0.009155552945937815
8,order,0.008681719013373144
8,event,0.008169515695422043
8,festival,0.007990872332120397
8,member,0.007713304103030627
8,active,0.007669480913868735
8,make,0.007484494791012358
8,renovate,0.006782518184050951
8,facility,0.006650830395775212
8,culture,0.006447021607936211
8,purchasing,0.0057677633967494904
8,quality,0.005758419050592059
8,accessible,0.004860853656362255
8,install,0.004788450950880047
8,upgrade,0.004645226987371339
8,replace,0.004139595166870049
8,woman,0.004058824690900263
8,public,0.004015484247937697
8,ensure,0.003948795081595329
8,food,0.003913284136644882
8,capacity,0.003822111099513025
8,resident,0.002251099904847495
8,heritage,0.0020256951629191106
8,safety,0.0009818689118159063
